university;study_programme
University of St. Andrews;International Political Theory
University of Liverpool;Actuarial Mathematics
University of Exeter;Financial Analysis and Fund Management
University of Leeds;Management
University of Bristol;Aerospace Engineering
University of the West of England;Finance
University of Sheffield;Clinical Communication Studies
Imperial College London;High Performance Embedded and Distributed Systems (HiPEDS)
University of Cambridge;Antarctic Studies
University of Dundee;Arts and Social Sciences
Imperial College London;Reproductive and Developmental Biology
Brunel University Uxbridge;Sport, Health and Exercise Sciences (Human Performance)
University of Stirling;Teaching English to Speakers of Other Languages (TESOL) (on-line)
University of Bristol;Geographical Sciences (Physical)
University of the West of England;Marketing
Glasgow Caledonian University;Banking, Finance and Risk Management
University of Nottingham;Bioengineering
Metropolitan University;Public Health
University of York;Software Engineering
University of Dundee;Social Work (DSW)
University of Cambridge;Genetics
University of Cambridge;Applied Mathematics
University of Dundee;Water Law
The University of Buckingham;Decorative Arts and Historic Interiors
The University of Buckingham;Art History with French
Bournemouth University;International Investment and Finance
University of Leicester;International Commercial Law
University of Essex;Accounting, Finance and Management
Glasgow Caledonian University;International Human Resource Management
Sheffield Hallam University;Genes and Proteins in Disease
University of Cambridge;History of Art
Coventry University;Spanish and TEFL
Coventry University;French
Bournemouth University;Business Studies with Operations and Project Management
University of Essex;Wild Writing: Literature and the Environment
University of Leeds;Sustainability (Environmental Consultancy and Project Management)
London South Bank University;Quantity Surveying
University of Manchester;Gender, Sexuality and Culture
Kingston University;Art Market Appraisal (Professional Practice)
University of Edinburgh;Science Communication and Public Engagement
The University of Buckingham;Intelligence History with Bletchley Park Studies
Kingston University;Illustration and Animation
University of Glasgow;Plant Science
University of Salford;Petroleum and Gas Engineering
University of Greenwich;Electrical Engineering
The University of Buckingham;English Literature
Bangor University;Consumer Psychology with Business
University of Oxford;Latin American Studies
School of Oriental and African Studies;Global Creative and Cultural Industries
University of Wales;Systematic and Philosophical Theology
University of Southampton;European and Comparative Property Law
Imperial College London;Control Systems
Kingston University;User Experience Design
Nottingham Trent University;Business Administration
Cardiff University;Ethnomusicology
Coventry University;Oil and Gas Management
University of London;Banking and Finance Law (1 Year or 2 Years Part-time)
Imperial College London;Advanced Computing
University of Southampton;Cyber Security
Middlesex University;Media and Communications Management
University of York;Early Prehistory
The University of Buckingham;Computer Science
University of Oxford;Theology
Glasgow Caledonian University;Oral Health Science
University of Stirling;Gothic Imagination
University of Bedfordshire;Information Management and Security
University of Hertfordshire;Dermatology Skills and Treatment
Bangor University;Investment Management
Heriot-Watt University;Actuarial Science
University of Edinburgh;English Literature: Scottish Literature
Glasgow Caledonian University;Business
University of Nottingham;Crop Improvement
University of Salford;Aerospace Engineering
University of Greenwich;Food Safety and Quality Management
University of Exeter;Finance and Management
Durham University;Economics
University of Leeds;Nutrition
University of Bedfordshire;Dance Performance and Choreography
University of East Anglia;International Relations and European Politics
University College London;German Studies: Language, Culture and History
School of Oriental and African Studies;Religions of Asia and Africa
University of Bristol;Composites Manufacture
University of Leeds;Biological Sciences (Biotechnology with Enterprise)
Sheffield Hallam University;Sport, Culture and Community
University of Oxford;Education — Research Design and Methodology
University of Nottingham;Global Citizenship, Identities and Human Rights
De Montfort University Leicester;Applied Health Studies
